restaurant_id,restaurant_name,category,city,district,address,latitude,longitude,cuisine_type,price_level,avg_price_vnd,rating,review_count,popularity_score,opening_hours,amenities_raw,description_raw,recommended_segments,known_strengths,known_weaknesses,poi_quality_score
RES011,Sushi Sakura,Nhà hàng,Nha Trang,Lộc Thọ,"35 Lê Lợi, Lộc Thọ, Nha Trang",12.215726,109.173122,Nhật,Trung bình,139204,4.1,193,40,11:00-23:30,"Phù hợp trẻ em, Máy lạnh, Phòng riêng, Thanh toán thẻ, Bãi đỗ xe, Không gian ngoài trời","Sushi Sakura là nhà hàng tại Lộc Thọ, Nha Trang, chuyên ẩm thực Nhật. Quán có phù hợp trẻ em, máy lạnh, phòng riêng, thanh toán thẻ, bãi đỗ xe và phù hợp cho cao cấp, nhóm bạn, gia đình.","Cao cấp, Nhóm bạn, Gia đình","khẩu vị ổn định, thực đơn đa dạng, món ăn ngon","chờ món lâu giờ cao điểm, ít món chay",0.86
RES012,Bánh Mì Corner,Ăn nhanh,Hạ Long,Bãi Cháy,"177 Trần Phú, Bãi Cháy, Hạ Long",20.953835,107.100076,Chay,Trung bình,189201,4,476,85,11:00-23:30,"Máy lạnh, Wi-Fi miễn phí, Bãi đỗ xe, Đặt bàn trước, Có ghế trẻ em, Mở cửa khuya, Giao hàng, Phòng riêng","Bánh Mì Corner là ăn nhanh tại Bãi Cháy, Hạ Long, chuyên ẩm thực Chay. Quán có máy lạnh, wi-fi miễn phí, bãi đỗ xe, đặt bàn trước, có ghế trẻ em và phù hợp cho nhóm bạn, hẹn hò, du lịch.","Nhóm bạn, Hẹn hò, Du lịch, Ăn nhanh, Ăn chay","thực đơn đa dạng, phù hợp gia đình, món ăn ngon","chỗ đậu xe hạn chế, đông vào cuối tuần",0.98
RES013,Quán Chay Sen Trắng,Nhà hàng chay,Đà Lạt,Phường 1,"106 Hai Bà Trưng, Phường 1, Đà Lạt",11.962244,108.476945,Chay,Trung bình,130458,3.9,306,42,10:00-02:00,"Nhạc nhẹ, Không gian ngoài trời, Có ghế trẻ em, Bãi đỗ xe, Thanh toán thẻ, Đặt bàn trước","Quán Chay Sen Trắng là nhà hàng chay tại Phường 1, Đà Lạt, chuyên ẩm thực Chay. Quán có nhạc nhẹ, không gian ngoài trời, có ghế trẻ em, bãi đỗ xe, thanh toán thẻ và phù hợp cho hẹn hò, ăn nhanh, tiết kiệm.","Hẹn hò, Ăn nhanh, Tiết kiệm, Công tác, Ăn chay","nhân viên thân thiện, phù hợp gia đình, món ăn ngon","giá hơi cao, ít món chay",0.98
RES014,Rooftop Garden Dining,Nhà hàng,Huế,Phú Hội,"67 Trần Phú, Phú Hội, Huế",16.468535,107.619913,Chay,Bình dân,111694,4.6,266,64,07:00-22:00,"Thanh toán thẻ, Máy lạnh, Không gian ngoài trời, Nhạc nhẹ, Wi-Fi miễn phí, View đẹp, Giao hàng, Phòng riêng, Phù hợp trẻ em","Rooftop Garden Dining là nhà hàng tại Phú Hội, Huế, chuyên ẩm thực Chay. Quán có thanh toán thẻ, máy lạnh, không gian ngoài trời, nhạc nhẹ, wi-fi miễn phí và phù hợp cho nhóm bạn, du lịch, gia đình.","Nhóm bạn, Du lịch, Gia đình, Hẹn hò, Ăn chay","thực đơn đa dạng, phù hợp gia đình, giá hợp lý","đông vào cuối tuần, ồn vào buổi tối",0.97
RES015,BBQ Street House,Nhà hàng,Hà Nội,Hoàn Kiếm,"32 Hai Bà Trưng, Hoàn Kiếm, Hà Nội",21.052503,105.854627,Hải sản,Trung bình,278914,4.4,752,86,06:00-14:00,"Đặt bàn trước, View đẹp, Không gian ngoài trời, Máy lạnh, Wi-Fi miễn phí","BBQ Street House là nhà hàng tại Hoàn Kiếm, Hà Nội, chuyên ẩm thực Hải sản. Quán có đặt bàn trước, view đẹp, không gian ngoài trời, máy lạnh, wi-fi miễn phí và phù hợp cho ăn chay, ăn nhanh.","Ăn chay, Ăn nhanh","giá hợp lý, phù hợp gia đình, phục vụ nhanh","ít món chay, chờ món lâu giờ cao điểm",0.89
RES016,Bún Bò Cố Đô,Nhà hàng,TP. Hồ Chí Minh,Quận 1,"189 Trần Phú, Quận 1, TP. Hồ Chí Minh",10.786431,106.687927,Việt Nam,Bình dân,75144,4.2,650,75,11:00-23:30,"Nhạc nhẹ, Mở cửa khuya, Phòng riêng, View đẹp, Máy lạnh, Đặt bàn trước, Phù hợp trẻ em, Wi-Fi miễn phí","Bún Bò Cố Đô là nhà hàng tại Quận 1, TP. Hồ Chí Minh, chuyên ẩm thực Việt Nam. Quán có nhạc nhẹ, mở cửa khuya, phòng riêng, view đẹp, máy lạnh và phù hợp cho tiết kiệm, du lịch, gia đình.","Tiết kiệm, Du lịch, Gia đình","view đẹp, khẩu vị ổn định, thực đơn đa dạng","không gian hơi nhỏ, chờ món lâu giờ cao điểm",0.91
RES017,Café Trứng 1980,Quán cà phê,Đà Nẵng,Sơn Trà,"46 Hai Bà Trưng, Sơn Trà, Đà Nẵng",16.068877,108.193813,Hàn,Trung bình,172200,3.8,526,83,09:00-23:00,"Wi-Fi miễn phí, Không gian ngoài trời, Giao hàng, View đẹp, Bãi đỗ xe","Café Trứng 1980 là quán cà phê tại Sơn Trà, Đà Nẵng, chuyên ẩm thực Hàn. Quán có wi-fi miễn phí, không gian ngoài trời, giao hàng, view đẹp, bãi đỗ xe và phù hợp cho ăn nhanh, tiết kiệm, ăn chay.","Ăn nhanh, Tiết kiệm, Ăn chay, Cao cấp","vị trí thuận tiện, nhân viên thân thiện, món ăn ngon","chỗ đậu xe hạn chế, Wi-Fi yếu",0.9
RES018,Nhà Hàng Gia Đình Việt,Nhà hàng,Nha Trang,Lộc Thọ,"70 Lê Lợi, Lộc Thọ, Nha Trang",12.227983,109.199109,Hải sản,Cao cấp,601206,4.2,996,82,09:00-23:00,"Phù hợp trẻ em, Giao hàng, Phòng riêng, Mở cửa khuya, View đẹp, Máy lạnh, Đặt bàn trước, Bãi đỗ xe","Nhà Hàng Gia Đình Việt là nhà hàng tại Lộc Thọ, Nha Trang, chuyên ẩm thực Hải sản. Quán có phù hợp trẻ em, giao hàng, phòng riêng, mở cửa khuya, view đẹp và phù hợp cho ăn chay, cao cấp, du lịch.","Ăn chay, Cao cấp, Du lịch, Gia đình","vị trí thuận tiện, không gian sạch sẽ, view đẹp","chỗ đậu xe hạn chế, ít món chay",0.88
RES019,Taco Fiesta,Nhà hàng,Hạ Long,Bãi Cháy,"140 Hùng Vương, Bãi Cháy, Hạ Long",20.974969,107.079294,Chay,Bình dân,58418,4,357,85,10:00-02:00,"Phù hợp trẻ em, Giao hàng, Đặt bàn trước, Wi-Fi miễn phí, Không gian ngoài trời, Nhạc nhẹ, Có ghế trẻ em","Taco Fiesta là nhà hàng tại Bãi Cháy, Hạ Long, chuyên ẩm thực Chay. Quán có phù hợp trẻ em, giao hàng, đặt bàn trước, wi-fi miễn phí, không gian ngoài trời và phù hợp cho gia đình, tiết kiệm, ăn nhanh.","Gia đình, Tiết kiệm, Ăn nhanh, Ăn chay","giá hợp lý, không gian sạch sẽ, phù hợp gia đình","Wi-Fi yếu, chờ món lâu giờ cao điểm",0.95
RES020,Dimsum House,Nhà hàng,Đà Lạt,Phường 1,"87 Võ Nguyên Giáp, Phường 1, Đà Lạt",11.927095,108.485372,Âu,Cao cấp,525047,4.3,841,61,06:00-14:00,"View đẹp, Phù hợp trẻ em, Wi-Fi miễn phí, Đặt bàn trước, Nhạc nhẹ, Bãi đỗ xe","Dimsum House là nhà hàng tại Phường 1, Đà Lạt, chuyên ẩm thực Âu. Quán có view đẹp, phù hợp trẻ em, wi-fi miễn phí, đặt bàn trước, nhạc nhẹ và phù hợp cho cao cấp, hẹn hò, gia đình.","Cao cấp, Hẹn hò, Gia đình","món ăn ngon, không gian sạch sẽ, phù hợp gia đình","ít món chay, chỗ đậu xe hạn chế",0.91
RES021,Mì Quảng Cô Ba,Nhà hàng,Huế,Phú Hội,"197 Lê Lợi, Phú Hội, Huế",16.443767,107.597335,Việt Nam,Cao cấp,397556,4.7,1008,41,07:00-22:00,"Có ghế trẻ em, Nhạc nhẹ, Wi-Fi miễn phí, Mở cửa khuya, Không gian ngoài trời, Phù hợp trẻ em","Mì Quảng Cô Ba là nhà hàng tại Phú Hội, Huế, chuyên ẩm thực Việt Nam. Quán có có ghế trẻ em, nhạc nhẹ, wi-fi miễn phí, mở cửa khuya, không gian ngoài trời và phù hợp cho hẹn hò, ăn nhanh, gia đình.","Hẹn hò, Ăn nhanh, Gia đình","nhân viên thân thiện, view đẹp, phục vụ nhanh","không gian hơi nhỏ, ồn vào buổi tối",0.94
RES022,Curry Garden,Nhà hàng,Hà Nội,Hoàn Kiếm,"126 Nguyễn Huệ, Hoàn Kiếm, Hà Nội",21.024511,105.845931,Chay,Bình dân,90888,4.9,266,77,06:00-14:00,"Đặt bàn trước, Mở cửa khuya, Không gian ngoài trời, Bãi đỗ xe, Nhạc nhẹ, View đẹp, Thanh toán thẻ, Phòng riêng","Curry Garden là nhà hàng tại Hoàn Kiếm, Hà Nội, chuyên ẩm thực Chay. Quán có đặt bàn trước, mở cửa khuya, không gian ngoài trời, bãi đỗ xe, nhạc nhẹ và phù hợp cho công tác, gia đình, hẹn hò.","Công tác, Gia đình, Hẹn hò, Nhóm bạn, Ăn chay","phù hợp gia đình, giá hợp lý, phục vụ nhanh","ít món chay, đông vào cuối tuần",0.97
RES023,Steak & Wine Bistro,Nhà hàng,TP. Hồ Chí Minh,Quận 1,"88 Lê Lợi, Quận 1, TP. Hồ Chí Minh",10.799719,106.712971,Chay,Trung bình,241863,4.2,1113,81,10:00-02:00,"Thanh toán thẻ, Không gian ngoài trời, Bãi đỗ xe, Máy lạnh, Giao hàng, Mở cửa khuya, Đặt bàn trước","Steak & Wine Bistro là nhà hàng tại Quận 1, TP. Hồ Chí Minh, chuyên ẩm thực Chay. Quán có thanh toán thẻ, không gian ngoài trời, bãi đỗ xe, máy lạnh, giao hàng và phù hợp cho tiết kiệm, du lịch, gia đình.","Tiết kiệm, Du lịch, Gia đình, Ăn nhanh, Hẹn hò, Ăn chay","giá hợp lý, nhân viên thân thiện, view đẹp","không gian hơi nhỏ, giá hơi cao",0.96
RES024,Chè Huế Ngọt Ngào,Ăn nhanh,Đà Nẵng,Sơn Trà,"141 Lê Lợi, Sơn Trà, Đà Nẵng",16.058909,108.218025,Healthy,Bình dân,103271,3.7,436,45,10:00-02:00,"Mở cửa khuya, Giao hàng, Nhạc nhẹ, Có ghế trẻ em, View đẹp, Wi-Fi miễn phí, Phù hợp trẻ em","Chè Huế Ngọt Ngào là ăn nhanh tại Sơn Trà, Đà Nẵng, chuyên ẩm thực Healthy. Quán có mở cửa khuya, giao hàng, nhạc nhẹ, có ghế trẻ em, view đẹp và phù hợp cho tiết kiệm, ăn nhanh, gia đình.","Tiết kiệm, Ăn nhanh, Gia đình","không gian sạch sẽ, giá hợp lý, view đẹp","ít món chay, không gian hơi nhỏ",0.99
RES025,Sea View Grill,Nhà hàng,Nha Trang,Lộc Thọ,"179 Trần Phú, Lộc Thọ, Nha Trang",12.247072,109.211868,Hải sản,Bình dân,74267,4,439,60,07:00-22:00,"Máy lạnh, Mở cửa khuya, View đẹp, Phù hợp trẻ em, Có ghế trẻ em, Bãi đỗ xe, Đặt bàn trước, Giao hàng","Sea View Grill là nhà hàng tại Lộc Thọ, Nha Trang, chuyên ẩm thực Hải sản. Quán có máy lạnh, mở cửa khuya, view đẹp, phù hợp trẻ em, có ghế trẻ em và phù hợp cho hẹn hò, nhóm bạn, gia đình.","Hẹn hò, Nhóm bạn, Gia đình","thực đơn đa dạng, nhân viên thân thiện, không gian sạch sẽ","đông vào cuối tuần, ồn vào buổi tối",0.92
RES026,Noodle Bar 24h,Nhà hàng,Hạ Long,Bãi Cháy,"107 Hùng Vương, Bãi Cháy, Hạ Long",20.956868,107.087105,Việt Nam,Trung bình,168329,4.4,1006,70,11:00-23:30,"Giao hàng, Bãi đỗ xe, Mở cửa khuya, Đặt bàn trước, Có ghế trẻ em, Nhạc nhẹ, Máy lạnh","Noodle Bar 24h là nhà hàng tại Bãi Cháy, Hạ Long, chuyên ẩm thực Việt Nam. Quán có giao hàng, bãi đỗ xe, mở cửa khuya, đặt bàn trước, có ghế trẻ em và phù hợp cho hẹn hò, ăn chay.","Hẹn hò, Ăn chay","khẩu vị ổn định, không gian sạch sẽ, phục vụ nhanh","không gian hơi nhỏ, đông vào cuối tuần",0.92
RES027,Lotus Halal Kitchen,Nhà hàng,Đà Lạt,Phường 1,"177 Hùng Vương, Phường 1, Đà Lạt",11.938595,108.430258,Halal,Cao cấp,578125,4.2,951,59,10:00-02:00,"View đẹp, Mở cửa khuya, Bãi đỗ xe, Không gian ngoài trời, Có ghế trẻ em, Phù hợp trẻ em","Lotus Halal Kitchen là nhà hàng tại Phường 1, Đà Lạt, chuyên ẩm thực Halal. Quán có view đẹp, mở cửa khuya, bãi đỗ xe, không gian ngoài trời, có ghế trẻ em và phù hợp cho hẹn hò, ăn nhanh, gia đình.","Hẹn hò, Ăn nhanh, Gia đình","nhân viên thân thiện, thực đơn đa dạng, phục vụ nhanh","giá hơi cao, đông vào cuối tuần",0.9
RES028,Green Bowl Salad,Nhà hàng,Huế,Phú Hội,"180 Võ Nguyên Giáp, Phú Hội, Huế",16.490261,107.590928,Nhật,Cao cấp,607710,4.5,974,44,06:00-14:00,"Đặt bàn trước, Bãi đỗ xe, Phù hợp trẻ em, Không gian ngoài trời, Phòng riêng, Máy lạnh","Green Bowl Salad là nhà hàng tại Phú Hội, Huế, chuyên ẩm thực Nhật. Quán có đặt bàn trước, bãi đỗ xe, phù hợp trẻ em, không gian ngoài trời, phòng riêng và phù hợp cho gia đình, hẹn hò.","Gia đình, Hẹn hò","không gian sạch sẽ, khẩu vị ổn định, view đẹp","chỗ đậu xe hạn chế, không gian hơi nhỏ",0.94
RES029,Bánh Xèo Miền Trung,Nhà hàng,Hà Nội,Hoàn Kiếm,"112 Hai Bà Trưng, Hoàn Kiếm, Hà Nội",21.047355,105.882343,Việt Nam,Trung bình,278259,3.8,126,96,06:00-14:00,"Bãi đỗ xe, Không gian ngoài trời, Nhạc nhẹ, View đẹp, Wi-Fi miễn phí","Bánh Xèo Miền Trung là nhà hàng tại Hoàn Kiếm, Hà Nội, chuyên ẩm thực Việt Nam. Quán có bãi đỗ xe, không gian ngoài trời, nhạc nhẹ, view đẹp, wi-fi miễn phí và phù hợp cho nhóm bạn, gia đình, tiết kiệm.","Nhóm bạn, Gia đình, Tiết kiệm, Công tác","view đẹp, thực đơn đa dạng, khẩu vị ổn định","chờ món lâu giờ cao điểm, chỗ đậu xe hạn chế",0.99
RES030,Little Korea BBQ,Nhà hàng,TP. Hồ Chí Minh,Quận 1,"160 Võ Nguyên Giáp, Quận 1, TP. Hồ Chí Minh",10.784425,106.716499,Hàn,Bình dân,71079,4.2,702,82,09:00-23:00,"Máy lạnh, Nhạc nhẹ, Đặt bàn trước, Phù hợp trẻ em, Wi-Fi miễn phí, Giao hàng, View đẹp, Phòng riêng","Little Korea BBQ là nhà hàng tại Quận 1, TP. Hồ Chí Minh, chuyên ẩm thực Hàn. Quán có máy lạnh, nhạc nhẹ, đặt bàn trước, phù hợp trẻ em, wi-fi miễn phí và phù hợp cho tiết kiệm, gia đình.","Tiết kiệm, Gia đình","thực đơn đa dạng, view đẹp, phù hợp gia đình","đông vào cuối tuần, chỗ đậu xe hạn chế",0.92
