review_id,restaurant_id,restaurant_name,review_text,sentiment_label,rating,customer_type,review_date,mentioned_aspects
REV0037,RES008,The Coffee & Brunch,Tôi thích vị trí thuận tiện và thực đơn đa dạng. The Coffee & Brunch phù hợp cho bữa ăn của tôi.,Tích cực,4,Gia đình,2026-01-09,"vị trí thuận tiện, thực đơn đa dạng"
REV0038,RES008,The Coffee & Brunch,"The Coffee & Brunch có thực đơn đa dạng, nhưng giá hơi cao. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-02-22,"thực đơn đa dạng, giá hơi cao"
REV0039,RES008,The Coffee & Brunch,Tôi thích view đẹp và vị trí thuận tiện. The Coffee & Brunch phù hợp cho bữa ăn của tôi.,Tích cực,5,Một mình,2026-06-22,"view đẹp, vị trí thuận tiện"
REV0040,RES008,The Coffee & Brunch,"The Coffee & Brunch có vị trí thuận tiện, nhưng giá hơi cao. Nhìn chung tạm ổn.",Trung lập,3,Gia đình,2026-04-13,"vị trí thuận tiện, giá hơi cao"
REV0041,RES009,Lẩu Nấm An Nhiên,Tôi thích nhân viên thân thiện và thực đơn đa dạng. Lẩu Nấm An Nhiên phù hợp cho bữa ăn của tôi.,Tích cực,4,Cặp đôi,2026-05-09,"nhân viên thân thiện, thực đơn đa dạng"
REV0042,RES009,Lẩu Nấm An Nhiên,Trải nghiệm chưa tốt vì không gian hơi nhỏ và giá hơi cao. Cần cải thiện.,Tiêu cực,3,Cặp đôi,2026-03-19,"không gian hơi nhỏ, giá hơi cao"
REV0043,RES009,Lẩu Nấm An Nhiên,Trải nghiệm chưa tốt vì không gian hơi nhỏ và giá hơi cao. Cần cải thiện.,Tiêu cực,3,Bạn bè,2026-01-16,"không gian hơi nhỏ, giá hơi cao"
REV0044,RES009,Lẩu Nấm An Nhiên,"Lẩu Nấm An Nhiên có nhân viên thân thiện, nhưng không gian hơi nhỏ. Nhìn chung tạm ổn.",Trung lập,3,Công tác,2026-05-23,"nhân viên thân thiện, không gian hơi nhỏ"
REV0045,RES009,Lẩu Nấm An Nhiên,Tôi thích view đẹp và nhân viên thân thiện. Lẩu Nấm An Nhiên phù hợp cho bữa ăn của tôi.,Tích cực,5,Công tác,2026-04-15,"view đẹp, nhân viên thân thiện"
REV0046,RES010,Pizza Roma,Tôi thích thực đơn đa dạng và phù hợp gia đình. Pizza Roma phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-02-27,"thực đơn đa dạng, phù hợp gia đình"
REV0047,RES010,Pizza Roma,Tôi thích giá hợp lý và phù hợp gia đình. Pizza Roma phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-05-24,"giá hợp lý, phù hợp gia đình"
REV0048,RES010,Pizza Roma,Tôi thích thực đơn đa dạng và phù hợp gia đình. Pizza Roma phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-03-07,"thực đơn đa dạng, phù hợp gia đình"
REV0049,RES010,Pizza Roma,Tôi thích giá hợp lý và phù hợp gia đình. Pizza Roma phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-01-24,"giá hợp lý, phù hợp gia đình"
REV0050,RES010,Pizza Roma,Tôi thích phù hợp gia đình và giá hợp lý. Pizza Roma phù hợp cho bữa ăn của tôi.,Tích cực,5,Công tác,2026-06-22,"phù hợp gia đình, giá hợp lý"
REV0051,RES011,Sushi Sakura,"Sushi Sakura có khẩu vị ổn định, nhưng chờ món lâu giờ cao điểm. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-05-31,"khẩu vị ổn định, chờ món lâu giờ cao điểm"
REV0052,RES011,Sushi Sakura,"Sushi Sakura có món ăn ngon, nhưng chờ món lâu giờ cao điểm. Nhìn chung tạm ổn.",Trung lập,3,Công tác,2026-02-23,"món ăn ngon, chờ món lâu giờ cao điểm"
REV0053,RES011,Sushi Sakura,Trải nghiệm chưa tốt vì ít món chay và chờ món lâu giờ cao điểm. Cần cải thiện.,Tiêu cực,2,Cặp đôi,2026-02-18,"ít món chay, chờ món lâu giờ cao điểm"
REV0054,RES011,Sushi Sakura,Trải nghiệm chưa tốt vì chờ món lâu giờ cao điểm và ít món chay. Cần cải thiện.,Tiêu cực,2,Một mình,2026-06-30,"chờ món lâu giờ cao điểm, ít món chay"
REV0055,RES011,Sushi Sakura,Tôi thích khẩu vị ổn định và thực đơn đa dạng. Sushi Sakura phù hợp cho bữa ăn của tôi.,Tích cực,5,Công tác,2026-04-30,"khẩu vị ổn định, thực đơn đa dạng"
REV0056,RES012,Bánh Mì Corner,Tôi thích phù hợp gia đình và món ăn ngon. Bánh Mì Corner phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-05-12,"phù hợp gia đình, món ăn ngon"
REV0057,RES012,Bánh Mì Corner,Trải nghiệm chưa tốt vì đông vào cuối tuần và chỗ đậu xe hạn chế. Cần cải thiện.,Tiêu cực,3,Bạn bè,2026-02-22,"đông vào cuối tuần, chỗ đậu xe hạn chế"
REV0058,RES012,Bánh Mì Corner,Tôi thích phù hợp gia đình và thực đơn đa dạng. Bánh Mì Corner phù hợp cho bữa ăn của tôi.,Tích cực,4,Cặp đôi,2026-01-05,"phù hợp gia đình, thực đơn đa dạng"
REV0059,RES012,Bánh Mì Corner,Tôi thích món ăn ngon và phù hợp gia đình. Bánh Mì Corner phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-02-20,"món ăn ngon, phù hợp gia đình"
REV0060,RES012,Bánh Mì Corner,Tôi thích phù hợp gia đình và thực đơn đa dạng. Bánh Mì Corner phù hợp cho bữa ăn của tôi.,Tích cực,5,Một mình,2026-06-17,"phù hợp gia đình, thực đơn đa dạng"
REV0061,RES013,Quán Chay Sen Trắng,Trải nghiệm chưa tốt vì ít món chay và giá hơi cao. Cần cải thiện.,Tiêu cực,3,Công tác,2026-04-28,"ít món chay, giá hơi cao"
REV0062,RES013,Quán Chay Sen Trắng,Tôi thích phù hợp gia đình và nhân viên thân thiện. Quán Chay Sen Trắng phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-05-06,"phù hợp gia đình, nhân viên thân thiện"
REV0063,RES013,Quán Chay Sen Trắng,Tôi thích món ăn ngon và nhân viên thân thiện. Quán Chay Sen Trắng phù hợp cho bữa ăn của tôi.,Tích cực,4,Gia đình,2026-06-21,"món ăn ngon, nhân viên thân thiện"
REV0064,RES013,Quán Chay Sen Trắng,Tôi thích nhân viên thân thiện và phù hợp gia đình. Quán Chay Sen Trắng phù hợp cho bữa ăn của tôi.,Tích cực,4,Cặp đôi,2026-01-18,"nhân viên thân thiện, phù hợp gia đình"
REV0065,RES013,Quán Chay Sen Trắng,"Quán Chay Sen Trắng có nhân viên thân thiện, nhưng giá hơi cao. Nhìn chung tạm ổn.",Trung lập,3,Một mình,2026-04-27,"nhân viên thân thiện, giá hơi cao"
REV0066,RES014,Rooftop Garden Dining,Tôi thích giá hợp lý và phù hợp gia đình. Rooftop Garden Dining phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-01-02,"giá hợp lý, phù hợp gia đình"
REV0067,RES014,Rooftop Garden Dining,Tôi thích phù hợp gia đình và thực đơn đa dạng. Rooftop Garden Dining phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-03-12,"phù hợp gia đình, thực đơn đa dạng"
REV0068,RES014,Rooftop Garden Dining,Tôi thích phù hợp gia đình và thực đơn đa dạng. Rooftop Garden Dining phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-01-28,"phù hợp gia đình, thực đơn đa dạng"
REV0069,RES014,Rooftop Garden Dining,Trải nghiệm chưa tốt vì đông vào cuối tuần và ồn vào buổi tối. Cần cải thiện.,Tiêu cực,2,Một mình,2026-05-15,"đông vào cuối tuần, ồn vào buổi tối"
REV0070,RES014,Rooftop Garden Dining,Tôi thích phù hợp gia đình và giá hợp lý. Rooftop Garden Dining phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-04-06,"phù hợp gia đình, giá hợp lý"
REV0071,RES015,BBQ Street House,Trải nghiệm chưa tốt vì chờ món lâu giờ cao điểm và ít món chay. Cần cải thiện.,Tiêu cực,2,Bạn bè,2026-06-25,"chờ món lâu giờ cao điểm, ít món chay"
REV0072,RES015,BBQ Street House,"BBQ Street House có giá hợp lý, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Gia đình,2026-04-14,"giá hợp lý, ít món chay"
REV0073,RES015,BBQ Street House,Tôi thích phục vụ nhanh và phù hợp gia đình. BBQ Street House phù hợp cho bữa ăn của tôi.,Tích cực,4,Gia đình,2026-06-29,"phục vụ nhanh, phù hợp gia đình"
REV0074,RES015,BBQ Street House,Tôi thích phù hợp gia đình và phục vụ nhanh. BBQ Street House phù hợp cho bữa ăn của tôi.,Tích cực,5,Một mình,2026-01-25,"phù hợp gia đình, phục vụ nhanh"
REV0075,RES015,BBQ Street House,Trải nghiệm chưa tốt vì ít món chay và chờ món lâu giờ cao điểm. Cần cải thiện.,Tiêu cực,2,Một mình,2026-05-02,"ít món chay, chờ món lâu giờ cao điểm"
REV0076,RES016,Bún Bò Cố Đô,Tôi thích view đẹp và khẩu vị ổn định. Bún Bò Cố Đô phù hợp cho bữa ăn của tôi.,Tích cực,4,Cặp đôi,2026-03-22,"view đẹp, khẩu vị ổn định"
REV0077,RES016,Bún Bò Cố Đô,Tôi thích view đẹp và thực đơn đa dạng. Bún Bò Cố Đô phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-03-18,"view đẹp, thực đơn đa dạng"
REV0078,RES016,Bún Bò Cố Đô,Tôi thích view đẹp và khẩu vị ổn định. Bún Bò Cố Đô phù hợp cho bữa ăn của tôi.,Tích cực,5,Công tác,2026-02-05,"view đẹp, khẩu vị ổn định"
REV0079,RES016,Bún Bò Cố Đô,"Bún Bò Cố Đô có thực đơn đa dạng, nhưng không gian hơi nhỏ. Nhìn chung tạm ổn.",Trung lập,3,Một mình,2026-03-30,"thực đơn đa dạng, không gian hơi nhỏ"
REV0080,RES016,Bún Bò Cố Đô,Tôi thích khẩu vị ổn định và view đẹp. Bún Bò Cố Đô phù hợp cho bữa ăn của tôi.,Tích cực,4,Bạn bè,2026-06-04,"khẩu vị ổn định, view đẹp"
REV0081,RES017,Café Trứng 1980,"Café Trứng 1980 có món ăn ngon, nhưng Wi-Fi yếu. Nhìn chung tạm ổn.",Trung lập,3,Bạn bè,2026-01-08,"món ăn ngon, Wi-Fi yếu"
REV0082,RES017,Café Trứng 1980,"Café Trứng 1980 có nhân viên thân thiện, nhưng Wi-Fi yếu. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-04-02,"nhân viên thân thiện, Wi-Fi yếu"
REV0083,RES017,Café Trứng 1980,"Café Trứng 1980 có nhân viên thân thiện, nhưng Wi-Fi yếu. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-06-24,"nhân viên thân thiện, Wi-Fi yếu"
REV0084,RES017,Café Trứng 1980,"Café Trứng 1980 có nhân viên thân thiện, nhưng chỗ đậu xe hạn chế. Nhìn chung tạm ổn.",Trung lập,3,Một mình,2026-03-17,"nhân viên thân thiện, chỗ đậu xe hạn chế"
REV0085,RES017,Café Trứng 1980,"Café Trứng 1980 có món ăn ngon, nhưng chỗ đậu xe hạn chế. Nhìn chung tạm ổn.",Trung lập,3,Gia đình,2026-03-10,"món ăn ngon, chỗ đậu xe hạn chế"
REV0086,RES018,Nhà Hàng Gia Đình Việt,Tôi thích view đẹp và vị trí thuận tiện. Nhà Hàng Gia Đình Việt phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-04-03,"view đẹp, vị trí thuận tiện"
REV0087,RES018,Nhà Hàng Gia Đình Việt,Tôi thích vị trí thuận tiện và không gian sạch sẽ. Nhà Hàng Gia Đình Việt phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-03-11,"vị trí thuận tiện, không gian sạch sẽ"
REV0088,RES018,Nhà Hàng Gia Đình Việt,Tôi thích vị trí thuận tiện và view đẹp. Nhà Hàng Gia Đình Việt phù hợp cho bữa ăn của tôi.,Tích cực,5,Công tác,2026-05-23,"vị trí thuận tiện, view đẹp"
REV0089,RES018,Nhà Hàng Gia Đình Việt,"Nhà Hàng Gia Đình Việt có không gian sạch sẽ, nhưng chỗ đậu xe hạn chế. Nhìn chung tạm ổn.",Trung lập,3,Gia đình,2026-01-23,"không gian sạch sẽ, chỗ đậu xe hạn chế"
REV0090,RES018,Nhà Hàng Gia Đình Việt,Tôi thích vị trí thuận tiện và không gian sạch sẽ. Nhà Hàng Gia Đình Việt phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-03-16,"vị trí thuận tiện, không gian sạch sẽ"
REV0091,RES019,Taco Fiesta,Tôi thích giá hợp lý và phù hợp gia đình. Taco Fiesta phù hợp cho bữa ăn của tôi.,Tích cực,4,Công tác,2026-02-13,"giá hợp lý, phù hợp gia đình"
REV0092,RES019,Taco Fiesta,Tôi thích không gian sạch sẽ và phù hợp gia đình. Taco Fiesta phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-01-17,"không gian sạch sẽ, phù hợp gia đình"
REV0093,RES019,Taco Fiesta,Tôi thích không gian sạch sẽ và phù hợp gia đình. Taco Fiesta phù hợp cho bữa ăn của tôi.,Tích cực,5,Công tác,2026-01-20,"không gian sạch sẽ, phù hợp gia đình"
REV0094,RES019,Taco Fiesta,Tôi thích giá hợp lý và không gian sạch sẽ. Taco Fiesta phù hợp cho bữa ăn của tôi.,Tích cực,4,Công tác,2026-01-28,"giá hợp lý, không gian sạch sẽ"
REV0095,RES019,Taco Fiesta,Tôi thích giá hợp lý và không gian sạch sẽ. Taco Fiesta phù hợp cho bữa ăn của tôi.,Tích cực,5,Một mình,2026-04-08,"giá hợp lý, không gian sạch sẽ"
REV0096,RES020,Dimsum House,"Dimsum House có không gian sạch sẽ, nhưng chỗ đậu xe hạn chế. Nhìn chung tạm ổn.",Trung lập,3,Bạn bè,2026-04-21,"không gian sạch sẽ, chỗ đậu xe hạn chế"
REV0097,RES020,Dimsum House,"Dimsum House có phù hợp gia đình, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Bạn bè,2026-03-24,"phù hợp gia đình, ít món chay"
REV0098,RES020,Dimsum House,"Dimsum House có phù hợp gia đình, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Công tác,2026-03-22,"phù hợp gia đình, ít món chay"
REV0099,RES020,Dimsum House,Tôi thích không gian sạch sẽ và phù hợp gia đình. Dimsum House phù hợp cho bữa ăn của tôi.,Tích cực,5,Công tác,2026-05-28,"không gian sạch sẽ, phù hợp gia đình"
REV0100,RES020,Dimsum House,"Dimsum House có không gian sạch sẽ, nhưng chỗ đậu xe hạn chế. Nhìn chung tạm ổn.",Trung lập,3,Bạn bè,2026-04-11,"không gian sạch sẽ, chỗ đậu xe hạn chế"
REV0101,RES021,Mì Quảng Cô Ba,Tôi thích phục vụ nhanh và nhân viên thân thiện. Mì Quảng Cô Ba phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-01-07,"phục vụ nhanh, nhân viên thân thiện"
REV0102,RES021,Mì Quảng Cô Ba,Trải nghiệm chưa tốt vì ồn vào buổi tối và không gian hơi nhỏ. Cần cải thiện.,Tiêu cực,3,Bạn bè,2026-06-27,"ồn vào buổi tối, không gian hơi nhỏ"
REV0103,RES021,Mì Quảng Cô Ba,Tôi thích view đẹp và phục vụ nhanh. Mì Quảng Cô Ba phù hợp cho bữa ăn của tôi.,Tích cực,4,Bạn bè,2026-03-03,"view đẹp, phục vụ nhanh"
REV0104,RES021,Mì Quảng Cô Ba,Tôi thích nhân viên thân thiện và view đẹp. Mì Quảng Cô Ba phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-04-25,"nhân viên thân thiện, view đẹp"
REV0105,RES021,Mì Quảng Cô Ba,Trải nghiệm chưa tốt vì ồn vào buổi tối và không gian hơi nhỏ. Cần cải thiện.,Tiêu cực,3,Một mình,2026-01-10,"ồn vào buổi tối, không gian hơi nhỏ"
REV0106,RES022,Curry Garden,"Curry Garden có giá hợp lý, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Gia đình,2026-03-05,"giá hợp lý, ít món chay"
REV0107,RES022,Curry Garden,"Curry Garden có giá hợp lý, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Một mình,2026-01-12,"giá hợp lý, ít món chay"
REV0108,RES022,Curry Garden,"Curry Garden có phục vụ nhanh, nhưng đông vào cuối tuần. Nhìn chung tạm ổn.",Trung lập,3,Bạn bè,2026-04-21,"phục vụ nhanh, đông vào cuối tuần"
REV0109,RES022,Curry Garden,Tôi thích phù hợp gia đình và giá hợp lý. Curry Garden phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-05-13,"phù hợp gia đình, giá hợp lý"
REV0110,RES022,Curry Garden,"Curry Garden có phục vụ nhanh, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Công tác,2026-04-06,"phục vụ nhanh, ít món chay"
REV0111,RES023,Steak & Wine Bistro,Tôi thích view đẹp và giá hợp lý. Steak & Wine Bistro phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-05-04,"view đẹp, giá hợp lý"
REV0112,RES023,Steak & Wine Bistro,Tôi thích nhân viên thân thiện và giá hợp lý. Steak & Wine Bistro phù hợp cho bữa ăn của tôi.,Tích cực,4,Cặp đôi,2026-03-31,"nhân viên thân thiện, giá hợp lý"
REV0113,RES023,Steak & Wine Bistro,Tôi thích nhân viên thân thiện và giá hợp lý. Steak & Wine Bistro phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-05-02,"nhân viên thân thiện, giá hợp lý"
REV0114,RES023,Steak & Wine Bistro,Tôi thích view đẹp và nhân viên thân thiện. Steak & Wine Bistro phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-03-18,"view đẹp, nhân viên thân thiện"
REV0115,RES023,Steak & Wine Bistro,Tôi thích view đẹp và giá hợp lý. Steak & Wine Bistro phù hợp cho bữa ăn của tôi.,Tích cực,4,Bạn bè,2026-06-15,"view đẹp, giá hợp lý"
REV0116,RES024,Chè Huế Ngọt Ngào,Tôi thích không gian sạch sẽ và view đẹp. Chè Huế Ngọt Ngào phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-02-10,"không gian sạch sẽ, view đẹp"
