menu_item_id,restaurant_id,restaurant_name,dish_name,menu_category,price_vnd,ingredients,dietary_tags,spicy_level,is_signature,availability_status,description
MENU0027,RES004,Nhà Hàng Biển Xanh,Trà đào cam sả,Đồ uống,62701,"trà, đào, cam",chay,Cay,Không,Còn món,"Trà đào cam sả tại Nhà Hàng Biển Xanh với nguyên liệu trà, đào, cam."
MENU0028,RES005,Mộc Vegan Bistro,Cơm sen chay,Món chính,112164,"gạo, hạt sen, rau",chay,Cay vừa,Không,Còn món,"Cơm sen chay tại Mộc Vegan Bistro với nguyên liệu gạo, hạt sen, rau."
MENU0029,RES005,Mộc Vegan Bistro,Lẩu nấm chay,Món chính,248756,"nấm, rau, đậu hũ",chay,Không cay,Không,Còn món,"Lẩu nấm chay tại Mộc Vegan Bistro với nguyên liệu nấm, rau, đậu hũ."
MENU0030,RES005,Mộc Vegan Bistro,Gỏi cuốn chay,Khai vị,60487,"rau, đậu hũ, bánh tráng",chay,Không cay,Không,Còn món,"Gỏi cuốn chay tại Mộc Vegan Bistro với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0031,RES005,Mộc Vegan Bistro,Bún Huế chay,Món chính,85279,"bún, nấm, đậu hũ",chay,Ít cay,Không,Còn món,"Bún Huế chay tại Mộc Vegan Bistro với nguyên liệu bún, nấm, đậu hũ."
MENU0032,RES005,Mộc Vegan Bistro,Nước suối,Đồ uống,20561,nước,chay,Ít cay,Có,Còn món,Nước suối tại Mộc Vegan Bistro với nguyên liệu nước.
MENU0033,RES005,Mộc Vegan Bistro,Khoai tây chiên,Món phụ,74805,khoai tây,chay,Không cay,Có,Còn món,Khoai tây chiên tại Mộc Vegan Bistro với nguyên liệu khoai tây.
MENU0034,RES006,Gà Nướng Lá Chanh,Phở bò tái,Món chính,98936,"bò, bánh phở, nước dùng",,Không cay,Không,Còn món,"Phở bò tái tại Gà Nướng Lá Chanh với nguyên liệu bò, bánh phở, nước dùng."
MENU0035,RES006,Gà Nướng Lá Chanh,Bún chả,Món chính,107640,"thịt heo, bún, nước mắm",,Cay,Có,Còn món,"Bún chả tại Gà Nướng Lá Chanh với nguyên liệu thịt heo, bún, nước mắm."
MENU0036,RES006,Gà Nướng Lá Chanh,Gỏi cuốn,Khai vị,68846,"tôm, rau, bánh tráng",,Không cay,Không,Còn món,"Gỏi cuốn tại Gà Nướng Lá Chanh với nguyên liệu tôm, rau, bánh tráng."
MENU0037,RES006,Gà Nướng Lá Chanh,Cơm tấm sườn,Món chính,116764,"sườn, cơm, trứng",gluten-free,Không cay,Không,Tạm hết,"Cơm tấm sườn tại Gà Nướng Lá Chanh với nguyên liệu sườn, cơm, trứng."
MENU0038,RES006,Gà Nướng Lá Chanh,Mì Quảng gà,Món chính,81184,"gà, mì quảng, đậu phộng",,Không cay,Không,Còn món,"Mì Quảng gà tại Gà Nướng Lá Chanh với nguyên liệu gà, mì quảng, đậu phộng."
MENU0039,RES006,Gà Nướng Lá Chanh,Trà đào cam sả,Đồ uống,62995,"trà, đào, cam",chay,Không cay,Không,Còn món,"Trà đào cam sả tại Gà Nướng Lá Chanh với nguyên liệu trà, đào, cam."
MENU0040,RES006,Gà Nướng Lá Chanh,Bánh flan,Tráng miệng,48258,"trứng, sữa","chay, gluten-free",Không cay,Có,Còn món,"Bánh flan tại Gà Nướng Lá Chanh với nguyên liệu trứng, sữa."
MENU0041,RES007,Hải Sản Sóng Vàng,Tôm nướng muối ớt,Món chính,255154,"tôm, ớt, muối",gluten-free,Không cay,Không,Còn món,"Tôm nướng muối ớt tại Hải Sản Sóng Vàng với nguyên liệu tôm, ớt, muối."
MENU0042,RES007,Hải Sản Sóng Vàng,Mực hấp gừng,Món chính,221160,"mực, gừng",,Không cay,Có,Còn món,"Mực hấp gừng tại Hải Sản Sóng Vàng với nguyên liệu mực, gừng."
MENU0043,RES007,Hải Sản Sóng Vàng,Lẩu hải sản,Món chính,343923,"tôm, mực, cá, rau",,Không cay,Không,Còn món,"Lẩu hải sản tại Hải Sản Sóng Vàng với nguyên liệu tôm, mực, cá, rau."
MENU0044,RES007,Hải Sản Sóng Vàng,Cá nướng giấy bạc,Món chính,292679,"cá, sả, ớt",gluten-free,Không cay,Không,Còn món,"Cá nướng giấy bạc tại Hải Sản Sóng Vàng với nguyên liệu cá, sả, ớt."
MENU0045,RES007,Hải Sản Sóng Vàng,Bánh flan,Tráng miệng,41943,"trứng, sữa",chay,Không cay,Không,Còn món,"Bánh flan tại Hải Sản Sóng Vàng với nguyên liệu trứng, sữa."
MENU0046,RES007,Hải Sản Sóng Vàng,Khoai tây chiên,Món phụ,71170,khoai tây,chay,Không cay,Có,Còn món,Khoai tây chiên tại Hải Sản Sóng Vàng với nguyên liệu khoai tây.
MENU0047,RES008,The Coffee & Brunch,Cơm gà halal,Món chính,126825,"gà, cơm, gia vị",halal,Ít cay,Không,Còn món,"Cơm gà halal tại The Coffee & Brunch với nguyên liệu gà, cơm, gia vị."
MENU0048,RES008,The Coffee & Brunch,Cà ri bò halal,Món chính,159527,"bò, cà ri",halal,Không cay,Không,Còn món,"Cà ri bò halal tại The Coffee & Brunch với nguyên liệu bò, cà ri."
MENU0049,RES008,The Coffee & Brunch,Bánh mì gà halal,Ăn nhanh,65693,"gà, bánh mì",halal,Cay vừa,Không,Còn món,"Bánh mì gà halal tại The Coffee & Brunch với nguyên liệu gà, bánh mì."
MENU0050,RES008,The Coffee & Brunch,Nước suối,Đồ uống,20266,nước,"chay, halal, gluten-free",Cay,Không,Còn món,Nước suối tại The Coffee & Brunch với nguyên liệu nước.
MENU0051,RES008,The Coffee & Brunch,Khoai tây chiên,Món phụ,74668,khoai tây,"chay, halal",Không cay,Không,Còn món,Khoai tây chiên tại The Coffee & Brunch với nguyên liệu khoai tây.
MENU0052,RES009,Lẩu Nấm An Nhiên,Tôm nướng muối ớt,Món chính,258308,"tôm, ớt, muối",,Cay,Không,Còn món,"Tôm nướng muối ớt tại Lẩu Nấm An Nhiên với nguyên liệu tôm, ớt, muối."
MENU0053,RES009,Lẩu Nấm An Nhiên,Mực hấp gừng,Món chính,224910,"mực, gừng",,Không cay,Không,Còn món,"Mực hấp gừng tại Lẩu Nấm An Nhiên với nguyên liệu mực, gừng."
MENU0054,RES009,Lẩu Nấm An Nhiên,Lẩu hải sản,Món chính,324002,"tôm, mực, cá, rau",gluten-free,Không cay,Có,Còn món,"Lẩu hải sản tại Lẩu Nấm An Nhiên với nguyên liệu tôm, mực, cá, rau."
MENU0055,RES009,Lẩu Nấm An Nhiên,Cá nướng giấy bạc,Món chính,291609,"cá, sả, ớt",,Cay vừa,Không,Còn món,"Cá nướng giấy bạc tại Lẩu Nấm An Nhiên với nguyên liệu cá, sả, ớt."
MENU0056,RES009,Lẩu Nấm An Nhiên,Trà đào cam sả,Đồ uống,51409,"trà, đào, cam",chay,Không cay,Không,Còn món,"Trà đào cam sả tại Lẩu Nấm An Nhiên với nguyên liệu trà, đào, cam."
MENU0057,RES009,Lẩu Nấm An Nhiên,Khoai tây chiên,Món phụ,80660,khoai tây,chay,Ít cay,Không,Còn món,Khoai tây chiên tại Lẩu Nấm An Nhiên với nguyên liệu khoai tây.
MENU0058,RES010,Pizza Roma,Pizza Margherita,Món chính,207965,"phô mai, cà chua, basil",chay,Cay vừa,Không,Còn món,"Pizza Margherita tại Pizza Roma với nguyên liệu phô mai, cà chua, basil."
MENU0059,RES010,Pizza Roma,Pasta Carbonara,Món chính,232378,"mì Ý, thịt xông khói, trứng",gluten-free,Không cay,Có,Còn món,"Pasta Carbonara tại Pizza Roma với nguyên liệu mì Ý, thịt xông khói, trứng."
MENU0060,RES010,Pizza Roma,Tiramisu,Tráng miệng,110064,"cà phê, mascarpone",chay,Không cay,Không,Còn món,"Tiramisu tại Pizza Roma với nguyên liệu cà phê, mascarpone."
MENU0061,RES010,Pizza Roma,Bánh flan,Tráng miệng,45691,"trứng, sữa","chay, gluten-free",Cay,Không,Còn món,"Bánh flan tại Pizza Roma với nguyên liệu trứng, sữa."
MENU0062,RES010,Pizza Roma,Nước suối,Đồ uống,24778,nước,chay,Ít cay,Có,Còn món,Nước suối tại Pizza Roma với nguyên liệu nước.
MENU0063,RES011,Sushi Sakura,Sushi cá hồi,Món chính,263093,"cá hồi, cơm sushi",,Không cay,Không,Còn món,"Sushi cá hồi tại Sushi Sakura với nguyên liệu cá hồi, cơm sushi."
MENU0064,RES011,Sushi Sakura,Ramen tonkotsu,Món chính,215244,"mì, nước dùng, thịt heo",,Không cay,Không,Còn món,"Ramen tonkotsu tại Sushi Sakura với nguyên liệu mì, nước dùng, thịt heo."
MENU0065,RES011,Sushi Sakura,Tempura tôm,Khai vị,145470,"tôm, bột chiên",,Không cay,Có,Còn món,"Tempura tôm tại Sushi Sakura với nguyên liệu tôm, bột chiên."
MENU0066,RES011,Sushi Sakura,Trà đào cam sả,Đồ uống,63026,"trà, đào, cam",chay,Không cay,Có,Còn món,"Trà đào cam sả tại Sushi Sakura với nguyên liệu trà, đào, cam."
MENU0067,RES011,Sushi Sakura,Nước suối,Đồ uống,22601,nước,"chay, gluten-free",Không cay,Không,Còn món,Nước suối tại Sushi Sakura với nguyên liệu nước.
MENU0068,RES012,Bánh Mì Corner,Cơm sen chay,Món chính,99459,"gạo, hạt sen, rau",chay,Cay vừa,Không,Còn món,"Cơm sen chay tại Bánh Mì Corner với nguyên liệu gạo, hạt sen, rau."
MENU0069,RES012,Bánh Mì Corner,Lẩu nấm chay,Món chính,204541,"nấm, rau, đậu hũ","chay, gluten-free",Không cay,Không,Còn món,"Lẩu nấm chay tại Bánh Mì Corner với nguyên liệu nấm, rau, đậu hũ."
MENU0070,RES012,Bánh Mì Corner,Gỏi cuốn chay,Khai vị,67900,"rau, đậu hũ, bánh tráng",chay,Cay vừa,Có,Còn món,"Gỏi cuốn chay tại Bánh Mì Corner với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0071,RES012,Bánh Mì Corner,Bún Huế chay,Món chính,86768,"bún, nấm, đậu hũ","chay, gluten-free",Không cay,Không,Còn món,"Bún Huế chay tại Bánh Mì Corner với nguyên liệu bún, nấm, đậu hũ."
MENU0072,RES012,Bánh Mì Corner,Nước suối,Đồ uống,20158,nước,chay,Không cay,Có,Còn món,Nước suối tại Bánh Mì Corner với nguyên liệu nước.
MENU0073,RES012,Bánh Mì Corner,Bánh flan,Tráng miệng,55388,"trứng, sữa",chay,Không cay,Có,Còn món,"Bánh flan tại Bánh Mì Corner với nguyên liệu trứng, sữa."
MENU0074,RES013,Quán Chay Sen Trắng,Cơm sen chay,Món chính,99819,"gạo, hạt sen, rau","chay, gluten-free",Ít cay,Không,Còn món,"Cơm sen chay tại Quán Chay Sen Trắng với nguyên liệu gạo, hạt sen, rau."
MENU0075,RES013,Quán Chay Sen Trắng,Lẩu nấm chay,Món chính,260077,"nấm, rau, đậu hũ","chay, gluten-free",Không cay,Có,Còn món,"Lẩu nấm chay tại Quán Chay Sen Trắng với nguyên liệu nấm, rau, đậu hũ."
MENU0076,RES013,Quán Chay Sen Trắng,Gỏi cuốn chay,Khai vị,73344,"rau, đậu hũ, bánh tráng",chay,Không cay,Không,Còn món,"Gỏi cuốn chay tại Quán Chay Sen Trắng với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0077,RES013,Quán Chay Sen Trắng,Bún Huế chay,Món chính,88926,"bún, nấm, đậu hũ","chay, gluten-free",Cay vừa,Có,Tạm hết,"Bún Huế chay tại Quán Chay Sen Trắng với nguyên liệu bún, nấm, đậu hũ."
MENU0078,RES013,Quán Chay Sen Trắng,Bánh flan,Tráng miệng,47746,"trứng, sữa",chay,Cay,Không,Còn món,"Bánh flan tại Quán Chay Sen Trắng với nguyên liệu trứng, sữa."
MENU0079,RES013,Quán Chay Sen Trắng,Khoai tây chiên,Món phụ,77427,khoai tây,chay,Cay vừa,Không,Còn món,Khoai tây chiên tại Quán Chay Sen Trắng với nguyên liệu khoai tây.
MENU0080,RES014,Rooftop Garden Dining,Cơm sen chay,Món chính,102473,"gạo, hạt sen, rau","chay, gluten-free",Cay vừa,Không,Tạm hết,"Cơm sen chay tại Rooftop Garden Dining với nguyên liệu gạo, hạt sen, rau."
MENU0081,RES014,Rooftop Garden Dining,Lẩu nấm chay,Món chính,247699,"nấm, rau, đậu hũ","chay, gluten-free",Cay vừa,Có,Còn món,"Lẩu nấm chay tại Rooftop Garden Dining với nguyên liệu nấm, rau, đậu hũ."
MENU0082,RES014,Rooftop Garden Dining,Gỏi cuốn chay,Khai vị,69964,"rau, đậu hũ, bánh tráng",chay,Cay,Không,Còn món,"Gỏi cuốn chay tại Rooftop Garden Dining với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0083,RES014,Rooftop Garden Dining,Bún Huế chay,Món chính,93739,"bún, nấm, đậu hũ",chay,Không cay,Không,Tạm hết,"Bún Huế chay tại Rooftop Garden Dining với nguyên liệu bún, nấm, đậu hũ."
MENU0084,RES014,Rooftop Garden Dining,Nước suối,Đồ uống,20262,nước,chay,Cay,Có,Còn món,Nước suối tại Rooftop Garden Dining với nguyên liệu nước.
MENU0085,RES014,Rooftop Garden Dining,Trà đào cam sả,Đồ uống,55329,"trà, đào, cam",chay,Không cay,Có,Còn món,"Trà đào cam sả tại Rooftop Garden Dining với nguyên liệu trà, đào, cam."
MENU0086,RES015,BBQ Street House,Tôm nướng muối ớt,Món chính,262040,"tôm, ớt, muối",gluten-free,Không cay,Không,Còn món,"Tôm nướng muối ớt tại BBQ Street House với nguyên liệu tôm, ớt, muối."
MENU0087,RES015,BBQ Street House,Mực hấp gừng,Món chính,193945,"mực, gừng",,Không cay,Không,Còn món,"Mực hấp gừng tại BBQ Street House với nguyên liệu mực, gừng."
MENU0088,RES015,BBQ Street House,Lẩu hải sản,Món chính,370092,"tôm, mực, cá, rau",,Không cay,Có,Còn món,"Lẩu hải sản tại BBQ Street House với nguyên liệu tôm, mực, cá, rau."
MENU0089,RES015,BBQ Street House,Cá nướng giấy bạc,Món chính,247728,"cá, sả, ớt",gluten-free,Cay vừa,Không,Còn món,"Cá nướng giấy bạc tại BBQ Street House với nguyên liệu cá, sả, ớt."
MENU0090,RES015,BBQ Street House,Trà đào cam sả,Đồ uống,61937,"trà, đào, cam","chay, gluten-free",Không cay,Không,Còn món,"Trà đào cam sả tại BBQ Street House với nguyên liệu trà, đào, cam."
MENU0091,RES015,BBQ Street House,Nước suối,Đồ uống,22268,nước,chay,Không cay,Không,Còn món,Nước suối tại BBQ Street House với nguyên liệu nước.
MENU0092,RES016,Bún Bò Cố Đô,Phở bò tái,Món chính,95757,"bò, bánh phở, nước dùng",gluten-free,Cay,Có,Còn món,"Phở bò tái tại Bún Bò Cố Đô với nguyên liệu bò, bánh phở, nước dùng."
MENU0093,RES016,Bún Bò Cố Đô,Bún chả,Món chính,101681,"thịt heo, bún, nước mắm",,Không cay,Có,Còn món,"Bún chả tại Bún Bò Cố Đô với nguyên liệu thịt heo, bún, nước mắm."
MENU0094,RES016,Bún Bò Cố Đô,Gỏi cuốn,Khai vị,61717,"tôm, rau, bánh tráng",,Không cay,Không,Còn món,"Gỏi cuốn tại Bún Bò Cố Đô với nguyên liệu tôm, rau, bánh tráng."
MENU0095,RES016,Bún Bò Cố Đô,Cơm tấm sườn,Món chính,105285,"sườn, cơm, trứng",,Cay,Không,Còn món,"Cơm tấm sườn tại Bún Bò Cố Đô với nguyên liệu sườn, cơm, trứng."
MENU0096,RES016,Bún Bò Cố Đô,Mì Quảng gà,Món chính,75578,"gà, mì quảng, đậu phộng",,Không cay,Không,Còn món,"Mì Quảng gà tại Bún Bò Cố Đô với nguyên liệu gà, mì quảng, đậu phộng."
MENU0097,RES016,Bún Bò Cố Đô,Trà đào cam sả,Đồ uống,51298,"trà, đào, cam",chay,Không cay,Không,Còn món,"Trà đào cam sả tại Bún Bò Cố Đô với nguyên liệu trà, đào, cam."
MENU0098,RES016,Bún Bò Cố Đô,Khoai tây chiên,Món phụ,68247,khoai tây,chay,Ít cay,Không,Còn món,Khoai tây chiên tại Bún Bò Cố Đô với nguyên liệu khoai tây.
MENU0099,RES017,Café Trứng 1980,Bibimbap,Món chính,172430,"cơm, rau, trứng",,Không cay,Không,Còn món,"Bibimbap tại Café Trứng 1980 với nguyên liệu cơm, rau, trứng."
MENU0100,RES017,Café Trứng 1980,Thịt nướng Hàn Quốc,Món chính,386155,"thịt bò, kimchi",,Không cay,Có,Còn món,"Thịt nướng Hàn Quốc tại Café Trứng 1980 với nguyên liệu thịt bò, kimchi."
MENU0101,RES017,Café Trứng 1980,Canh kimchi,Món chính,137099,"kimchi, đậu hũ",,Không cay,Không,Còn món,"Canh kimchi tại Café Trứng 1980 với nguyên liệu kimchi, đậu hũ."
MENU0102,RES017,Café Trứng 1980,Khoai tây chiên,Món phụ,71925,khoai tây,chay,Không cay,Không,Còn món,Khoai tây chiên tại Café Trứng 1980 với nguyên liệu khoai tây.
MENU0103,RES017,Café Trứng 1980,Trà đào cam sả,Đồ uống,64588,"trà, đào, cam",chay,Cay,Không,Còn món,"Trà đào cam sả tại Café Trứng 1980 với nguyên liệu trà, đào, cam."
MENU0104,RES018,Nhà Hàng Gia Đình Việt,Tôm nướng muối ớt,Món chính,257246,"tôm, ớt, muối",,Cay,Không,Còn món,"Tôm nướng muối ớt tại Nhà Hàng Gia Đình Việt với nguyên liệu tôm, ớt, muối."
MENU0105,RES018,Nhà Hàng Gia Đình Việt,Mực hấp gừng,Món chính,212479,"mực, gừng",gluten-free,Cay,Không,Còn món,"Mực hấp gừng tại Nhà Hàng Gia Đình Việt với nguyên liệu mực, gừng."
MENU0106,RES018,Nhà Hàng Gia Đình Việt,Lẩu hải sản,Món chính,327567,"tôm, mực, cá, rau",,Không cay,Có,Còn món,"Lẩu hải sản tại Nhà Hàng Gia Đình Việt với nguyên liệu tôm, mực, cá, rau."
MENU0107,RES018,Nhà Hàng Gia Đình Việt,Cá nướng giấy bạc,Món chính,258824,"cá, sả, ớt",,Cay,Có,Còn món,"Cá nướng giấy bạc tại Nhà Hàng Gia Đình Việt với nguyên liệu cá, sả, ớt."
MENU0108,RES018,Nhà Hàng Gia Đình Việt,Bánh flan,Tráng miệng,53363,"trứng, sữa",chay,Không cay,Không,Còn món,"Bánh flan tại Nhà Hàng Gia Đình Việt với nguyên liệu trứng, sữa."
MENU0109,RES018,Nhà Hàng Gia Đình Việt,Nước suối,Đồ uống,20617,nước,chay,Ít cay,Có,Tạm hết,Nước suối tại Nhà Hàng Gia Đình Việt với nguyên liệu nước.
MENU0110,RES019,Taco Fiesta,Cơm sen chay,Món chính,90075,"gạo, hạt sen, rau",chay,Không cay,Không,Còn món,"Cơm sen chay tại Taco Fiesta với nguyên liệu gạo, hạt sen, rau."
MENU0111,RES019,Taco Fiesta,Lẩu nấm chay,Món chính,252326,"nấm, rau, đậu hũ",chay,Không cay,Có,Còn món,"Lẩu nấm chay tại Taco Fiesta với nguyên liệu nấm, rau, đậu hũ."
MENU0112,RES019,Taco Fiesta,Gỏi cuốn chay,Khai vị,57139,"rau, đậu hũ, bánh tráng",chay,Không cay,Không,Còn món,"Gỏi cuốn chay tại Taco Fiesta với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0113,RES019,Taco Fiesta,Bún Huế chay,Món chính,83569,"bún, nấm, đậu hũ","chay, gluten-free",Cay,Có,Còn món,"Bún Huế chay tại Taco Fiesta với nguyên liệu bún, nấm, đậu hũ."
MENU0114,RES019,Taco Fiesta,Khoai tây chiên,Món phụ,75245,khoai tây,chay,Không cay,Không,Còn món,Khoai tây chiên tại Taco Fiesta với nguyên liệu khoai tây.
MENU0115,RES019,Taco Fiesta,Trà đào cam sả,Đồ uống,55106,"trà, đào, cam","chay, gluten-free",Cay,Có,Còn món,"Trà đào cam sả tại Taco Fiesta với nguyên liệu trà, đào, cam."
MENU0116,RES020,Dimsum House,Bò bít tết,Món chính,518150,"bò, khoai tây",,Không cay,Không,Còn món,"Bò bít tết tại Dimsum House với nguyên liệu bò, khoai tây."
MENU0117,RES020,Dimsum House,Salad Caesar,Khai vị,168793,"xà lách, gà, phô mai",gluten-free,Cay vừa,Có,Còn món,"Salad Caesar tại Dimsum House với nguyên liệu xà lách, gà, phô mai."
MENU0118,RES020,Dimsum House,Súp bí đỏ,Khai vị,105838,"bí đỏ, kem",chay,Không cay,Không,Còn món,"Súp bí đỏ tại Dimsum House với nguyên liệu bí đỏ, kem."
MENU0119,RES020,Dimsum House,Khoai tây chiên,Món phụ,81012,khoai tây,chay,Cay vừa,Không,Còn món,Khoai tây chiên tại Dimsum House với nguyên liệu khoai tây.
MENU0120,RES020,Dimsum House,Trà đào cam sả,Đồ uống,64498,"trà, đào, cam",chay,Không cay,Không,Còn món,"Trà đào cam sả tại Dimsum House với nguyên liệu trà, đào, cam."
MENU0121,RES021,Mì Quảng Cô Ba,Phở bò tái,Món chính,99591,"bò, bánh phở, nước dùng",,Không cay,Không,Còn món,"Phở bò tái tại Mì Quảng Cô Ba với nguyên liệu bò, bánh phở, nước dùng."
MENU0122,RES021,Mì Quảng Cô Ba,Bún chả,Món chính,90941,"thịt heo, bún, nước mắm",,Cay,Có,Còn món,"Bún chả tại Mì Quảng Cô Ba với nguyên liệu thịt heo, bún, nước mắm."
MENU0123,RES021,Mì Quảng Cô Ba,Gỏi cuốn,Khai vị,62847,"tôm, rau, bánh tráng",,Không cay,Không,Còn món,"Gỏi cuốn tại Mì Quảng Cô Ba với nguyên liệu tôm, rau, bánh tráng."
